b,0,0,"Director of the National Economic Council, Larry Kudlow, ""I’m not denying any climate change issues, George (Stephnapolis). I’m just saying do we know precisely and I mean... https://t.co/kUTRjY0tLL"
c,0,0,Larry Kudlow: The UN Is Overestimating Climate Change Warning https://t.co/ReuyWqJLrL via @dailycaller
